Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,GridRefXY,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,,,Latitude,Longitude
303,525,"http://www.streetmap.co.uk/map?X=300516&Y=804065&SV=300516,804065&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 00516 04065,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=525,Cairn Gorm,NJ 00516 04065,8,08A,1244.8,4084,36,OL57S 403S,NJ005040,300516,804065,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,300516,804065,57.116724,-3.6444784
304,527,"http://www.streetmap.co.uk/map?X=298510&Y=802556&SV=298510,802556&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 98510 02556,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=527,Cairn Gorm - Cairn Lochan,NH 98510 02556,8,08A,1216,3990,36,OL57S 403S,NH985025,298510,802556,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,298510,802556,57.102736,-3.6769764
305,556,"http://www.streetmap.co.uk/map?X=298852&Y=803299&SV=298852,803299&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 98852 03299,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=556,Cairn Gorm - Fiacaill Coire an t-Sneachda,NH 98852 03299,8,08A,1122,3681,36,OL57S 403S,NH988032,298852,803299,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,298852,803299,57.109483,-3.671634
306,534,"http://www.streetmap.co.uk/map?X=299625&Y=802985&SV=299625,802985&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 99625 02985,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=534,Cairn Gorm - Stob Coire an t-Sneachda,NH 99625 02985,8,08A,1176,3858,36,OL57S 403S,NH996029,299625,802985,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,299625,802985,57.106833,-3.6587515
307,542,"http://www.streetmap.co.uk/map?X=299894&Y=803991&SV=299894,803991&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 99894 03991,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=542,Cairn Gorm - Fiacaill a' Choire Chais,NH 99894 03991,8,08A,1141,3743,36,OL57S 403S,NH998039,299894,803991,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,299894,803991,57.115924,-3.6547154
308,540,"http://www.streetmap.co.uk/map?X=301350&Y=804908&SV=301350,804908&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01350 04908,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=540,Cairn Gorm - Cnap Coire na Spreidhe,NJ 01350 04908,8,08A,1150,3773,36,OL57S 403S,NJ013049,301350,804908,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,301350,804908,57.124473,-3.6310452
309,568,"http://www.streetmap.co.uk/map?X=301637&Y=806120&SV=301637,806120&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01637 06120,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=568,Cairn Gorm - Sron a' Cha-no,NJ 01637 06120,8,08A,1028,3373,36,OL57S 403S,NJ016061,301637,806120,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,301637,806120,57.135418,-3.6267843
310,564,"http://www.streetmap.co.uk/map?X=296838&Y=803340&SV=296838,803340&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 96838 03340,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=564,Cairn Gorm - Creag an Leth-choin [Lurcher's Crag],NH 96838 03340,8,08A,1053,3455,36,OL57S 403S,NH968033,296838,803340,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,296838,803340,57.109403,-3.7048864
311,569,"http://www.streetmap.co.uk/map?X=296875&Y=803965&SV=296875,803965&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 96875 03965,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=569,Cairn Gorm - Creag an Leth-choin North Top,NH 96875 03965,8,08A,1026,3366,36,OL57S 403S,NH968039,296875,803965,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,296875,803965,57.115023,-3.7045336
312,560,"http://www.streetmap.co.uk/map?X=297523&Y=802435&SV=297523,802435&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 97523 02435,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=560,Cairn Gorm - Fiacaill na Leth-choin,NH 97523 02435,8,08A,1083,3553,36,OL57S 403S,NH975024,297523,802435,,TOP,TOP,TOP,TOP,TOP,,,,,,297523,802435,57.10143,-3.6932116
313,557,"http://www.streetmap.co.uk/map?X=304190&Y=806373&SV=304190,806373&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 04190 06373,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=557,Bynack More,NJ 04190 06373,8,08A,1090,3576,36,OL57N OL57S OL58N OL58S 403N 403S 404N 404S,NJ041063,304190,806373,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,304190,806373,57.13823,-3.5847195
314,573,"http://www.streetmap.co.uk/map?X=303207&Y=804833&SV=303207,804833&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 03207 04833,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=573,Bynack More - A' Choinneach,NJ 03207 04833,8,08A,1017,3337,36,OL57S OL58S 403S 404S,NJ032048,303207,804833,MUN,MUN,MUN,MUN,MUN,MUN,TOP,TOP,TOP,TOP,TOP,303207,804833,57.124195,-3.6003576
315,582,"http://www.streetmap.co.uk/map?X=303633&Y=806841&SV=303633,806841&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 03633 06841,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=582,Bynack More - Bynack Beg,NJ 03633 06841,8,08A,970,3182,36,OL57N OL57S OL58N OL58S 403N 403S 404N 404S,NJ036068,303633,806841,,,,,,,TOP,TOP,TOP,TOP,TOP,303633,806841,57.142316,-3.5940995
316,531,"http://www.streetmap.co.uk/map?X=302460&Y=801695&SV=302460,801695&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 02460 01695,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=531,Beinn Mheadhoin,NJ 02460 01695,8,08A,1182.9,3881,36,OL57S 403S,NJ024016,302460,801695,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,302460,801695,57.095859,-3.6114662
317,537,"http://www.streetmap.co.uk/map?X=301850&Y=801164&SV=301850,801164&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01850 01164,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=537,Beinn Mheadhoin SW Top,NJ 01850 01164,8,08A,1163,3816,36,OL57S 403S,NJ018011,301850,801164,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,,,301850,801164,57.090961,-3.621321
318,561,"http://www.streetmap.co.uk/map?X=302476&Y=800531&SV=302476,800531&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 02476 00531,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=561,Beinn Mheadhoin - Stob Coire Etchachan,NJ 02476 00531,8,08A,1082,3550,36,OL57S 403S,NJ024005,302476,800531,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,302476,800531,57.085411,-3.6107488
319,574,"http://www.streetmap.co.uk/map?X=301191&Y=801528&SV=301191,801528&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01191 01528,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=574,Beinn Mheadhoin - Stacan Dubha,NJ 01191 01528,8,08A,1014,3327,36,OL57S 403S,NJ011015,301191,801528,,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,301191,801528,57.094089,-3.6323346
320,539,"http://www.streetmap.co.uk/map?X=301734&Y=798032&SV=301734,798032&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 01734 98032,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=539,Derry Cairngorm,NO 01734 98032,8,08A,1155,3789,36 43,OL57S 403S,NO017980,301734,798032,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,301734,798032,57.062813,-3.6220063
321,554,"http://www.streetmap.co.uk/map?X=301194&Y=799619&SV=301194,799619&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 01194 99619,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=554,Derry Cairngorm - Creagan a' Choire Etchachan,NO 01194 99619,8,08A,1108,3635,36 43,OL57S 403S,NO011996,301194,799619,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,301194,799619,57.076948,-3.6315321
322,578,"http://www.streetmap.co.uk/map?X=302556&Y=799110&SV=302556,799110&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 02556 99110,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=578,Derry Cairngorm - Sgurr an Lochan Uaine,NO 02556 99110,8,08A,983,3225,36 43,OL57S 403S,NO025991,302556,799110,,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,302556,799110,57.072668,-3.6088768
323,566,"http://www.streetmap.co.uk/map?X=302020&Y=797242&SV=302020,797242&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 02020 97242,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=566,Derry Cairngorm - Little Cairngorm,NO 02020 97242,8,08A,1040,3412,36 43,OL57S 403S,NO020972,302020,797242,,TOP,TOP,TOP,TOP,TOP,,,,,,302020,797242,57.05578,-3.6169838
324,587,"http://www.streetmap.co.uk/map?X=305870&Y=797075&SV=305870,797075&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 05870 97075,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=587,Beinn Bhreac,NO 05870 97075,8,08B,931,3054,36 43,OL57S OL58S 403S 404S,NO058970,305870,797075,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,305870,797075,57.055083,-3.553475
325,588,"http://www.streetmap.co.uk/map?X=305284&Y=797202&SV=305284,797202&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 05284 97202,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=588,Beinn Bhreac West Top,NO 05284 97202,8,08B,927,3041,36 43,OL57S OL58S 403S 404S,NO052972,305284,797202,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,305284,797202,57.056104,-3.5631798
326,559,"http://www.streetmap.co.uk/map?X=304515&Y=801360&SV=304515,801360&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 04515 01360,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=559,Beinn a' Chaorainn,NJ 04515 01360,8,08B,1083,3553,36,OL57S OL58S 403S 404S,NJ045013,304515,801360,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,304515,801360,57.093283,-3.5774367
327,572,"http://www.streetmap.co.uk/map?X=305727&Y=801717&SV=305727,801717&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 05727 01717,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=572,Beinn a' Chaorainn - Beinn a' Chaorainn Bheag,NJ 05727 01717,8,08B,1017,3337,36,OL57S OL58S 403S 404S,NJ057017,305727,801717,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,305727,801717,57.096738,-3.5575778
328,536,"http://www.streetmap.co.uk/map?X=313193&Y=801845&SV=313193,801845&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 13193 01845,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=536,Leabaidh an Daimh Bhuidhe (Ben Avon),NJ 13193 01845,8,08B,1172,3845,36,OL58S 404S,NJ131018,313193,801845,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,313193,801845,57.099358,-3.4344442
329,563,"http://www.streetmap.co.uk/map?X=313352&Y=800239&SV=313352,800239&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 13352 00239,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=563,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stob Dubh an Eas Bhig,NJ 13352 00239,8,08B,1061,3481,36,OL58S 404S,NJ133002,313352,800239,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,313352,800239,57.084966,-3.4312648
330,543,"http://www.streetmap.co.uk/map?X=312595&Y=801359&SV=312595,801359&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 12595 01359,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=543,Leabaidh an Daimh Bhuidhe (Ben Avon) - Ben Avon SW Top,NJ 12595 01359,8,08B,1137.6,3732,36,OL58S 404S,NJ125013,312595,801359,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,312595,801359,57.09488,-3.4441413
331,562,"http://www.streetmap.co.uk/map?X=313672&Y=803332&SV=313672,803332&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 13672 03332,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=562,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stob Bac an Fhurain,NJ 13672 03332,8,08B,1076,3530,36,OL58S 404S,NJ136033,313672,803332,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,313672,803332,57.112802,-3.4270541
332,544,"http://www.streetmap.co.uk/map?X=314327&Y=802147&SV=314327,802147&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 14327 02147,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=544,Leabaidh an Daimh Bhuidhe (Ben Avon) - Mullach Lochan nan Gabhar,NJ 14327 02147,8,08B,1124,3688,36,OL58S 404S,NJ143021,314327,802147,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,314327,802147,57.102283,-3.4158367
333,545,"http://www.streetmap.co.uk/map?X=314733&Y=801308&SV=314733,801308&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 14733 01308,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=545,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stuc Gharbh Mhor,NJ 14733 01308,8,08B,1119.2,3672,36,OL58S 404S,NJ147013,314733,801308,,,,,,TOP,,,,,,314733,801308,57.094824,-3.4088512
334,550,"http://www.streetmap.co.uk/map?X=314664&Y=801684&SV=314664,801684&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 14664 01684,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=550,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stuc Gharbh Mhor (old GR),NJ 14664 01684,8,08B,1112,3648,36,OL58S 404S,NJ146016,314664,801684,TOP,TOP,TOP,TOP,TOP,,,,,,,314664,801684,57.098188,-3.4101178
335,570,"http://www.streetmap.co.uk/map?X=315342&Y=803670&SV=315342,803670&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 15342 03670,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=570,Leabaidh an Daimh Bhuidhe (Ben Avon) - West Meur Gorm Craig,NJ 15342 03670,8,08B,1023.1,3357,36,OL58S 404S,NJ153036,315342,803670,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,315342,803670,57.116148,-3.3996035
336,584,"http://www.streetmap.co.uk/map?X=316011&Y=803290&SV=316011,803290&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 16011 03290,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=584,Leabaidh an Daimh Bhuidhe (Ben Avon) - Big Brae,NJ 16011 03290,8,08B,940,3084,36,OL58S 404S,NJ160032,316011,803290,TOP,,,,,,,,,,,316011,803290,57.112858,-3.3884322
337,586,"http://www.streetmap.co.uk/map?X=315928&Y=804207&SV=315928,804207&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 15928 04207,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=586,Leabaidh an Daimh Bhuidhe (Ben Avon) - East Meur Gorm Craig,NJ 15928 04207,8,08B,935.3,3069,36,OL58S 404S,NJ159042,315928,804207,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,315928,804207,57.121078,-3.3901107
338,558,"http://www.streetmap.co.uk/map?X=312265&Y=799266&SV=312265,799266&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 12265 99266,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=558,Leabaidh an Daimh Bhuidhe (Ben Avon) - Carn Eas,NO 12265 99266,8,08B,1089,3573,36 43,OL58S 404S,NO122992,312265,799266,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,312265,799266,57.076022,-3.4488522
339,581,"http://www.streetmap.co.uk/map?X=313185&Y=798225&SV=313185,798225&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 13185 98225,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=581,Leabaidh an Daimh Bhuidhe (Ben Avon) - Creag an Dail Mhor,NO 13185 98225,8,08B,972,3189,36 43,OL58S 404S,NO131982,313185,798225,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,313185,798225,57.066848,-3.4333214
340,529,"http://www.streetmap.co.uk/map?X=309231&Y=800621&SV=309231,800621&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 09231 00621,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=529,Beinn a' Bhuird North Top,NJ 09231 00621,8,08B,1197,3927,36,OL58S 404S,NJ092006,309231,800621,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,309231,800621,57.087601,-3.499371
341,533,"http://www.streetmap.co.uk/map?X=309022&Y=797930&SV=309022,797930&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 09022 97930,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=533,Beinn a' Bhuird South Top (old GR),NO 09022 97930,8,08B,1177,3862,36 43,OL58S 404S,NO090979,309022,797930,TOP,TOP,TOP,TOP,TOP,TOP,TOP,,,,,309022,797930,57.063395,-3.5018413
342,532,"http://www.streetmap.co.uk/map?X=309187&Y=798610&SV=309187,798610&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 09187 98610,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=532,Beinn a' Bhuird South Top,NO 09187 98610,8,08B,1179,3868,36 43,OL58S 404S,NO091986,309187,798610,,,,,,,,TOP,TOP,TOP,TOP,309187,798610,57.069534,-3.4993678
343,535,"http://www.streetmap.co.uk/map?X=310761&Y=801013&SV=310761,801013&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 10761 01013,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=535,Beinn a' Bhuird - Cnap a' Chleirich,NJ 10761 01013,8,08B,1174,3852,36,OL58S 404S,NJ107010,310761,801013,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,310761,801013,57.091421,-3.4742745
344,555,"http://www.streetmap.co.uk/map?X=311203&Y=802743&SV=311203,802743&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 11203 02743,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=555,Beinn a' Bhuird - Stob an t-Sluichd,NJ 11203 02743,8,08B,1107,3632,36,OL58S 404S,NJ112027,311203,802743,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,311203,802743,57.107042,-3.4675972
345,541,"http://www.streetmap.co.uk/map?X=309780&Y=798685&SV=309780,798685&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 09780 98685,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=541,Beinn a' Bhuird - A' Chioch,NO 09780 98685,8,08B,1151,3776,36 43,OL58S 404S,NO097986,309780,798685,,TOP,TOP,TOP,TOP,TOP,,,,,,309780,798685,57.070324,-3.4896185
346,624,"http://www.streetmap.co.uk/map?X=256144&Y=798768&SV=256144,798768&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 56144 98768,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=624,Geal Charn,NN 56144 98768,9,09B,926,3038,35,OL55 401,NN561987,256144,798768,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,256144,798768,57.057437,-4.3735755
347,621,"http://www.streetmap.co.uk/map?X=263568&Y=802398&SV=263568,802398&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 63568 02398,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=621,Carn Dearg,NH 63568 02398,9,09B,945.7,3103,35,OL56 402,NH635023,263568,802398,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,263568,802398,57.092279,-4.2532519
348,622,"http://www.streetmap.co.uk/map?X=263188&Y=803178&SV=263188,803178&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 63188 03178,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=622,Carn Dearg - Carn Ban,NH 63188 03178,9,09B,942.3,3092,35,OL56 402,NH631031,263188,803178,MUN,MUN,MUN,MUN,MUN,MUN,TOP,TOP,TOP,TOP,TOP,263188,803178,57.099167,-4.2599439
349,625,"http://www.streetmap.co.uk/map?X=263772&Y=801763&SV=263772,801763&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 63772 01763,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=625,Carn Dearg SE Top,NH 63772 01763,9,09B,923.7,3031,35,OL56 402,NH637017,263772,801763,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,263772,801763,57.086639,-4.2495427
350,628,"http://www.streetmap.co.uk/map?X=262200&Y=802700&SV=262200,802700&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 62200 02700,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=628,Carn Dearg - Sneachdach Slinnean,NH 62200 02700,9,09B,919,3015,35,OL56 402,NH622027,262200,802700,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,262200,802700,57.094582,-4.2759748
351,627,"http://www.streetmap.co.uk/map?X=264353&Y=804473&SV=264353,804473&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 64353 04473,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=627,Carn Dearg - Carn Ballach (SW Top),NH 64353 04473,9,09B,919.8,3018,35,OL56 402,NH643044,264353,804473,MUN,,,,,MUN,TOP,TOP,TOP,TOP,TOP,264353,804473,57.111137,-4.2414324
352,629,"http://www.streetmap.co.uk/map?X=264779&Y=804824&SV=264779,804824&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 64779 04824,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=629,Carn Dearg - Carn Ballach (NE Top),NH 64779 04824,9,09B,919.3,3016,35,OL56 402,NH647048,264779,804824,TOP,MUN,MUN,MUN,MUN,,,,,,,264779,804824,57.114413,-4.2345942
353,623,"http://www.streetmap.co.uk/map?X=268110&Y=804178&SV=268110,804178&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 68110 04178,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=623,A' Chailleach,NH 68110 04178,9,09B,929.3,3049,35,OL56 402,NH681041,268110,804178,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,268110,804178,57.109582,-4.1792932
354,626,"http://www.streetmap.co.uk/map?X=268302&Y=805821&SV=268302,805821&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 68302 05821,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=626,Carn Sgulain,NH 68302 05821,9,09B,920.3,3019,35,OL56 402,NH683058,268302,805821,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,268302,805821,57.124385,-4.176991
355,658,"http://www.streetmap.co.uk/map?X=241839&Y=787545&SV=241839,787545&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41839 87545,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=658,Creag Meagaidh,NN 41839 87545,9,09C,1128.1,3701,34 42,OL55 401,NN418875,241839,787545,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,241839,787545,56.952034,-4.6021305
356,659,"http://www.streetmap.co.uk/map?X=242436&Y=787575&SV=242436,787575&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 42436 87575,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=659,Creag Meagaidh East Top,NN 42436 87575,9,09C,1116.1,3662,34 42,OL55 401,NN424875,242436,787575,TOP,,,,,,,,,,,242436,787575,56.952507,-4.5923447
357,660,"http://www.streetmap.co.uk/map?X=243702&Y=787275&SV=243702,787275&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43702 87275,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=660,Creag Meagaidh - Puist Coire Ardair,NN 43702 87275,9,09C,1070.8,3513,34 42,OL55 401,NN437872,243702,787275,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,243702,787275,56.950245,-4.5713671
358,661,"http://www.streetmap.co.uk/map?X=244221&Y=787331&SV=244221,787331&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44221 87331,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=661,Creag Meagaidh - Creag Mhor,NN 44221 87331,9,09C,1069.7,3510,34 42,OL50 OL55 393 401,NN442873,244221,787331,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,244221,787331,56.950922,-4.5628783
359,667,"http://www.streetmap.co.uk/map?X=243269&Y=786270&SV=243269,786270&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43269 86270,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=667,Creag Meagaidh - Meall Coire Choille-rais,NN 43269 86270,9,09C,1028,3373,34 42,OL55 401,NN432862,243269,786270,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,243269,786270,56.941079,-4.5778551
360,669,"http://www.streetmap.co.uk/map?X=244838&Y=787770&SV=244838,787770&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44838 87770,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=669,Creag Meagaidh - Sron a' Choire,NN 44838 87770,9,09C,1001.8,3287,34 42,OL50 OL55 393 401,NN448877,244838,787770,TOP,,,,,,TOP,TOP,TOP,TOP,TOP,244838,787770,56.955069,-4.5530148
361,671,"http://www.streetmap.co.uk/map?X=242249&Y=785382&SV=242249,785382&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 42249 85382,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=671,Creag Meagaidh - An Cearcallach,NN 42249 85382,9,09C,993.1,3258,34 42,OL55 401,NN422853,242249,785382,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,242249,785382,56.932763,-4.5940481
